school_close,school_open
2020-2-16,2020-3-22,
2020-2-23,2020-9-01,
2020-10-25,2020-10-31,
2020-12-20,2021-01-02,
2021-02-14,2021-02-20,
2021-04-01,2021-04-17,
2021-05-30,2021-06-05,
2021-07-25,2021-09-01
