trial,lp,chain,ll,f_00,f_10,f_20,f_30,f_40,f_50,f_60,f_70,size
0,-2397.62985506287,0,-2392.98046534498,0.124784504922676,0.0729563422954062,0.307594300464504,0.419128072498007,0.44391315195206,0.527376201313461,0.774384265987725,0.73257842833372,49.4096895008906
0,-2398.56908220937,1,-2393.76847153431,0.105100486258864,0.0575764796149222,0.249848914096791,0.361906570299715,0.394804112562344,0.459966924336555,0.657814743533112,0.631984992502671,47.2929974248382
0,-2397.79498418269,2,-2392.96492187304,0.1174401421883,0.0660659079491884,0.252546482441318,0.394975466175337,0.407485493846886,0.48364989328784,0.77073424316811,0.663712835206706,53.0723613228511
0,-2399.33977462658,3,-2394.67881279538,0.139125950606843,0.0607901973380329,0.273449326291409,0.423757727293436,0.402621264147759,0.522797804442947,0.724746954659429,0.706909438621796,55.4043017091506
0,-2397.6295207152,4,-2392.88461191543,0.122161651550635,0.0669394832310588,0.285571623576179,0.419924551756039,0.428058792241059,0.521973439353213,0.781000621649816,0.707508679582002,45.5244036457665
0,-2397.00173962483,5,-2392.34325937303,0.15656683903035,0.0721975248803354,0.280727845996172,0.381692751847407,0.415114585082703,0.566480996554394,0.795185466353102,0.73247324990209,50.1201707637003
0,-2397.82498792388,6,-2392.89934209008,0.131600576900836,0.0755228390658143,0.301965725898357,0.413323428533518,0.412814401631037,0.564195318114814,0.819855814674998,0.786541601457176,46.2504872249444
0,-2396.30052791415,7,-2391.7225132716,0.158323245470185,0.0730726291474777,0.273762569183756,0.407422051760168,0.422992165554192,0.548858076635652,0.796640960923116,0.708082768341524,51.7915837368335
0,-2397.85849148165,8,-2392.76651475624,0.110265775606543,0.0511604911486756,0.256024631427021,0.372808443805525,0.383015233935613,0.489708053329558,0.761988832649102,0.648931840039419,49.1726579035123
0,-2398.13366748969,9,-2392.44843591306,0.156304790283938,0.0797697555793366,0.326810294179235,0.425813217980384,0.490484054210249,0.589560857064457,0.932605852258145,0.825583131252576,48.4829866576201
0,-2397.4030828825,10,-2392.61843400977,0.121840440355449,0.0543128095390266,0.23399455422019,0.358454808253234,0.347502599653536,0.468759399057946,0.631451608378492,0.615967298161966,49.28679846067
0,-2398.30921125008,11,-2392.84879850036,0.150549546827629,0.0761876600916107,0.321711453935375,0.449380149316033,0.438745699021307,0.610686776644641,0.908986217159265,0.815659332262739,46.7675376784795
0,-2397.71456116558,12,-2392.70436070477,0.114948413091373,0.0531520754350985,0.243023076097909,0.354360351090103,0.367190985114713,0.446052948609569,0.729842767558041,0.650183799127325,46.6377614204446
0,-2396.31290939239,13,-2391.55144746621,0.136287269419234,0.0592052527648086,0.28450105991315,0.381931690585334,0.415816777201664,0.533150579143683,0.747945901659855,0.710471918128771,54.0770038107154
0,-2402.06293257117,14,-2396.560405105,0.132389160924445,0.0904982783050814,0.300351810529794,0.490085763077594,0.534884024894045,0.632582411092177,0.883452252158212,0.867130349285669,47.5334625432347
0,-2397.3344633799,15,-2392.76960537648,0.147688418979317,0.0769050664366514,0.295308793598309,0.405992226948496,0.432045697647291,0.59577477961531,0.794100004622455,0.714062580311998,50.9915749257164
0,-2396.86448253665,16,-2391.5199612654,0.144710280184091,0.0846763242943045,0.333454090931037,0.454636921384164,0.469141666384477,0.623940086891353,0.886342758422295,0.847037699004276,49.7663259846673
0,-2403.40898063107,17,-2397.88763642525,0.167319539374653,0.0591385372233423,0.316085010943504,0.476871896028153,0.500926744974407,0.556774195971151,0.8844690439958,0.847496871213381,51.3765051221447
1,-2397.62985506287,0,-2392.98046534498,0.124784504922676,0.0729563422954062,0.307594300464504,0.419128072498007,0.44391315195206,0.527376201313461,0.774384265987725,0.73257842833372,49.4096895008906
1,-2398.56908220937,1,-2393.76847153431,0.105100486258864,0.0575764796149222,0.249848914096791,0.361906570299715,0.394804112562344,0.459966924336555,0.657814743533112,0.631984992502671,47.2929974248382
1,-2397.79498418269,2,-2392.96492187304,0.1174401421883,0.0660659079491884,0.252546482441318,0.394975466175337,0.407485493846886,0.48364989328784,0.77073424316811,0.663712835206706,53.0723613228511
1,-2399.33977462658,3,-2394.67881279538,0.139125950606843,0.0607901973380329,0.273449326291409,0.423757727293436,0.402621264147759,0.522797804442947,0.724746954659429,0.706909438621796,55.4043017091506
1,-2397.6295207152,4,-2392.88461191543,0.122161651550635,0.0669394832310588,0.285571623576179,0.419924551756039,0.428058792241059,0.521973439353213,0.781000621649816,0.707508679582002,45.5244036457665
1,-2397.00173962483,5,-2392.34325937303,0.15656683903035,0.0721975248803354,0.280727845996172,0.381692751847407,0.415114585082703,0.566480996554394,0.795185466353102,0.73247324990209,50.1201707637003
1,-2397.82498792388,6,-2392.89934209008,0.131600576900836,0.0755228390658143,0.301965725898357,0.413323428533518,0.412814401631037,0.564195318114814,0.819855814674998,0.786541601457176,46.2504872249444
1,-2396.30052791415,7,-2391.7225132716,0.158323245470185,0.0730726291474777,0.273762569183756,0.407422051760168,0.422992165554192,0.548858076635652,0.796640960923116,0.708082768341524,51.7915837368335
1,-2397.85849148165,8,-2392.76651475624,0.110265775606543,0.0511604911486756,0.256024631427021,0.372808443805525,0.383015233935613,0.489708053329558,0.761988832649102,0.648931840039419,49.1726579035123
1,-2398.41129587658,9,-2393.50054497705,0.142277534762361,0.0713219853705133,0.297751331194376,0.377758046602584,0.463659203799379,0.538805808113524,0.831169081269261,0.763129097766811,49.9408036390516
1,-2397.4030828825,10,-2392.61843400977,0.121840440355449,0.0543128095390266,0.23399455422019,0.358454808253234,0.347502599653536,0.468759399057946,0.631451608378492,0.615967298161966,49.28679846067
1,-2398.30921125008,11,-2392.84879850036,0.150549546827629,0.0761876600916107,0.321711453935375,0.449380149316033,0.438745699021307,0.610686776644641,0.908986217159265,0.815659332262739,46.7675376784795
1,-2397.71456116558,12,-2392.70436070477,0.114948413091373,0.0531520754350985,0.243023076097909,0.354360351090103,0.367190985114713,0.446052948609569,0.729842767558041,0.650183799127325,46.6377614204446
1,-2397.72839104625,13,-2392.87438677304,0.123233702639685,0.0634367276362763,0.294716015000184,0.379309080802245,0.437158703002656,0.532829897436173,0.794229921865949,0.710389341659261,46.0624101281907
1,-2402.06293257117,14,-2396.560405105,0.132389160924445,0.0904982783050814,0.300351810529794,0.490085763077594,0.534884024894045,0.632582411092177,0.883452252158212,0.867130349285669,47.5334625432347
1,-2397.3344633799,15,-2392.76960537648,0.147688418979317,0.0769050664366514,0.295308793598309,0.405992226948496,0.432045697647291,0.59577477961531,0.794100004622455,0.714062580311998,50.9915749257164
1,-2396.86448253665,16,-2391.5199612654,0.144710280184091,0.0846763242943045,0.333454090931037,0.454636921384164,0.469141666384477,0.623940086891353,0.886342758422295,0.847037699004276,49.7663259846673
1,-2403.40898063107,17,-2397.88763642525,0.167319539374653,0.0591385372233423,0.316085010943504,0.476871896028153,0.500926744974407,0.556774195971151,0.8844690439958,0.847496871213381,51.3765051221447
2,-2397.62985506287,0,-2392.98046534498,0.124784504922676,0.0729563422954062,0.307594300464504,0.419128072498007,0.44391315195206,0.527376201313461,0.774384265987725,0.73257842833372,49.4096895008906
2,-2398.56908220937,1,-2393.76847153431,0.105100486258864,0.0575764796149222,0.249848914096791,0.361906570299715,0.394804112562344,0.459966924336555,0.657814743533112,0.631984992502671,47.2929974248382
2,-2397.79498418269,2,-2392.96492187304,0.1174401421883,0.0660659079491884,0.252546482441318,0.394975466175337,0.407485493846886,0.48364989328784,0.77073424316811,0.663712835206706,53.0723613228511
